id,segment id,length,frc,speedlimit,streetname,geom,msbase,ms1500,ms1515,ms1530,ms1545,ms1600,ms1615,ms1630,ms1645,ms1700,ms1715,ms1730,ms1745,ms1800,ms1815,ms1830,ms1845,ms1900,ms1915,ms1930,ms1945,ms2000,ms2015,ms2030,ms2045,ms2100,ms2115,base_hits
1423,15280001459825,30.38,2,50,Mr. Treublaan,,37.00,31.00,4.00,12.00,33.00,8.00,6.00,5.00,4.00,9.00,40.00,,42.00,,,,,,,,,,,,,,,203
1424,15280049310101,31.00,2,50,Mr. Treublaan,,32.00,26.00,26.00,21.00,23.00,13.00,33.00,28.00,26.00,33.00,30.00,33.00,24.00,32.00,27.00,42.00,39.00,25.00,37.00,30.00,24.00,37.00,37.00,28.00,24.00,11.00,39,193
1426,15280001378911,17.67,2,50,Vrijheidslaan,,36.00,7.00,23.00,4.00,22.00,15.00,13.00,35.00,32.00,19.00,29.00,36.00,30.00,30.00,33.00,48.00,39.00,25.00,42.00,34.00,24.00,23.00,30.00,37.00,18.00,13.00,46,155
1428,15280001845346,6.75,2,50,Amsteldijk,,28.00,32.00,22.00,21.00,18.00,33.00,6.00,20.00,29.00,9.00,32.00,41.00,36.00,37.00,,39.00,42.00,23.00,7.00,34.00,13.00,23.00,27.00,,8.00,20.00,33,210
1429,15280049319503,19.54,4,50,Vrijheidslaan,,37.00,15.00,29.00,34.00,24.00,21.00,13.00,39.00,26.00,34.00,31.00,34.00,18.00,28.00,27.00,48.00,39.00,25.00,38.00,42.00,48.00,33.00,30.00,37.00,35.00,40.00,46,121
1431,-15280049310090,11.32,2,50,Mr. Treublaan,,31.00,22.00,11.00,23.00,28.00,18.00,33.00,30.00,28.00,31.00,31.00,33.00,30.00,32.00,27.00,45.00,39.00,25.00,42.00,31.00,26.00,33.00,35.00,28.00,33.00,11.00,41,194
1432,15280049319504,208.91,4,50,Vrijheidslaan,,41.00,27.00,29.00,34.00,21.00,31.00,26.00,34.00,28.00,34.00,28.00,26.00,26.00,32.00,22.00,48.00,39.00,25.00,42.00,34.00,26.00,23.00,35.00,28.00,59.00,14.00,45,122
1433,-15280049310089,9.04,2,50,Mr. Treublaan,,32.00,22.00,9.00,23.00,20.00,15.00,33.00,35.00,28.00,31.00,28.00,33.00,30.00,38.00,32.00,48.00,38.00,36.00,42.00,54.00,53.00,45.00,30.00,38.00,61.00,36.00,50,194
1434,15280001824640,38.26,2,50,Mr. Treublaan,,25.00,33.00,3.00,3.00,3.00,3.00,5.00,4.00,7.00,34.00,40.00,,23.00,24.00,30.00,43.00,40.00,46.00,34.00,42.00,36.00,31.00,44.00,53.00,33.00,33.00,23,202
1436,-15280049310091,6.79,2,50,Mr. Treublaan,,28.00,31.00,7.00,3.00,3.00,6.00,18.00,12.00,3.00,37.00,38.00,,23.00,32.00,28.00,37.00,32.00,35.00,34.00,28.00,27.00,25.00,4.00,46.00,32.00,34.00,31,202
1437,15280001845347,6.46,2,50,Amsteldijk,,30.00,32.00,18.00,21.00,18.00,30.00,6.00,35.00,29.00,9.00,38.00,41.00,37.00,37.00,,39.00,42.00,37.00,7.00,34.00,24.00,24.00,27.00,,8.00,20.00,34,210
